iter	Passed	Remaining
0	147	147127
1	148	73975
2	149	49634
3	150	37475
4	153	30447
5	153	25483
6	154	21920
7	155	19274
8	156	17211
9	157	15547
10	157	14199
11	159	13095
12	159	12130
13	160	11309
14	161	10593
15	162	9977
16	163	9429
17	163	8942
18	164	8503
19	165	8123
20	167	7822
21	168	7506
22	169	7217
23	170	6949
24	172	6709
25	172	6477
26	173	6263
27	174	6070
28	175	5884
29	177	5735
30	178	5570
31	179	5416
32	180	5276
33	180	5139
34	181	5007
35	182	4900
36	183	4784
37	184	4671
38	185	4567
39	186	4470
40	187	4383
41	188	4293
42	189	4217
43	190	4133
44	190	4053
45	191	3976
46	192	3906
47	193	3841
48	194	3772
49	195	3707
50	195	3646
51	196	3585
52	197	3527
53	198	3471
54	199	3419
55	199	3368
56	200	3319
57	201	3271
58	202	3224
59	202	3180
60	203	3138
61	204	3098
62	205	3059
63	206	3019
64	207	2983
65	208	2947
66	209	2913
67	210	2879
68	211	2850
69	212	2818
70	213	2796
71	214	2765
72	215	2735
73	216	2705
74	217	2677
75	218	2650
76	218	2624
77	220	2602
78	221	2576
79	221	2552
80	222	2529
81	223	2506
82	224	2479
83	225	2461
84	226	2439
85	227	2418
86	228	2396
87	229	2375
88	230	2355
89	230	2335
90	231	2317
91	232	2298
92	233	2280
93	234	2261
94	235	2246
95	236	2230
96	237	2212
97	238	2195
98	239	2179
99	240	2162
100	241	2149
101	242	2134
102	243	2119
103	244	2107
104	245	2093
105	246	2079
106	247	2065
107	248	2052
108	249	2038
109	250	2030
110	251	2016
111	252	2002
112	253	1988
113	254	1976
114	255	1963
115	256	1951
116	256	1938
117	257	1925
118	258	1915
119	259	1904
120	260	1894
121	261	1881
122	262	1873
123	263	1862
124	264	1851
125	265	1840
126	266	1829
127	267	1819
128	268	1809
129	268	1799
130	269	1788
131	270	1778
132	271	1767
133	272	1758
134	272	1749
135	273	1739
136	275	1733
137	276	1725
138	277	1715
139	278	1708
140	279	1700
141	280	1692
142	280	1683
143	281	1674
144	282	1666
145	283	1658
146	284	1651
147	285	1642
148	287	1639
149	287	1631
150	288	1622
151	289	1614
152	290	1607
153	291	1600
154	292	1593
155	293	1586
156	294	1579
157	294	1571
158	295	1564
159	296	1558
160	297	1549
161	298	1542
162	299	1535
163	299	1528
164	300	1521
165	301	1513
166	302	1506
167	303	1501
168	303	1494
169	304	1488
170	305	1482
171	306	1476
172	307	1469
173	308	1465
174	309	1460
175	310	1454
176	311	1448
177	312	1442
178	313	1436
179	314	1431
180	315	1426
181	317	1424
182	318	1420
183	319	1415
184	320	1410
185	321	1408
186	322	1403
187	323	1398
188	324	1393
189	325	1387
190	326	1381
191	327	1376
192	328	1371
193	328	1366
194	330	1363
195	331	1359
196	332	1355
197	333	1351
198	334	1347
199	335	1342
200	336	1338
201	337	1334
202	338	1329
203	339	1325
204	340	1320
205	341	1317
206	342	1312
207	343	1308
208	344	1303
209	345	1300
210	346	1296
211	347	1292
212	348	1287
213	349	1283
214	350	1279
215	351	1276
216	352	1273
217	353	1268
218	354	1264
219	355	1260
220	356	1255
221	357	1253
222	358	1249
223	359	1245
224	360	1241
225	361	1237
226	362	1233
227	363	1229
228	364	1225
229	364	1221
230	365	1217
231	367	1214
232	368	1211
233	369	1208
234	370	1205
235	371	1202
236	372	1198
237	373	1195
238	374	1191
239	375	1187
240	376	1184
241	376	1180
242	377	1176
243	378	1173
244	379	1170
245	380	1166
246	381	1163
247	382	1160
248	384	1158
249	385	1155
250	386	1152
251	387	1149
252	388	1146
253	390	1145
254	391	1142
255	392	1139
256	392	1135
257	394	1133
258	394	1129
259	395	1126
260	396	1123
261	397	1120
262	398	1117
263	400	1115
264	401	1112
265	401	1109
266	403	1107
267	404	1104
268	406	1103
269	406	1100
270	407	1097
271	408	1094
272	410	1092
273	411	1089
274	412	1087
275	414	1086
276	415	1083
277	416	1080
278	417	1077
279	418	1075
280	420	1075
281	421	1072
282	422	1069
283	423	1066
284	424	1064
285	425	1062
286	426	1060
287	427	1057
288	428	1054
289	429	1051
290	430	1048
291	431	1047
292	432	1044
293	433	1041
294	434	1038
295	435	1035
296	436	1032
297	437	1030
298	438	1028
299	439	1025
300	440	1022
301	441	1019
302	442	1018
303	443	1015
304	444	1013
305	445	1010
306	446	1007
307	447	1005
308	448	1003
309	449	1001
310	450	998
311	451	995
312	452	992
313	453	990
314	454	987
315	455	985
316	456	983
317	457	980
318	457	977
319	458	974
320	459	971
321	460	969
322	461	967
323	462	964
324	463	962
325	464	959
326	464	956
327	465	954
328	467	953
329	468	950
330	468	947
331	469	944
332	470	942
333	471	939
334	472	937
335	473	936
336	474	933
337	475	931
338	476	928
339	476	925
340	477	923
341	478	921
342	479	918
343	480	917
344	481	915
345	482	912
346	483	910
347	484	908
348	485	906
349	486	904
350	487	901
351	488	899
